,type,name,url,minority_url,thomas_id,house_committee_id,subcommittees,address,phone,rss_url,jurisdiction,youtube_id,jurisdiction_source,minority_rss_url,senate_committee_id,wikipedia,subcommittee_name,subcommittee_thomas_id
0,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,Forestry,15
1,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,"Commodity Markets, Digital Assets, and Rural Development",22
2,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,"General Farm Commodities, Risk Management, and Credit",16
3,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,"Livestock, Dairy, and Poultry",29
4,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,"Conservation, Research, and Biotechnology",14
5,house,House Committee on Agriculture,https://agriculture.house.gov/,https://republicans-agriculture.house.gov,HSAG,AG,"[{'name': 'Forestry', 'thomas_id': '15', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Commodity Markets, Digital Assets, and Rural Development', 'thomas_id': '22', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'General Farm Commodities, Risk Management, and Credit', 'thomas_id': '16', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Livestock, Dairy, and Poultry', 'thomas_id': '29', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Conservation, Research, and Biotechnology', 'thomas_id': '14', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}, {'name': 'Nutrition, Foreign Agriculture, and Horticulture', 'thomas_id': '03', 'address': '1301 LHOB; Washington, DC 20515', 'phone': '(202) 225-2171'}]","1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,https://agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",UCOWh2WJxPywHIaccDWb8Mvg,,,,,"Nutrition, Foreign Agriculture, and Horticulture",03
6,house,House Committee on Appropriations,https://appropriations.house.gov/,https://republicans-appropriations.house.gov/,HSAP,AP,"[{'name': 'Agriculture, Rural Development, Food and Drug Administration, and Related Agencies', 'thomas_id': '01', 'address': '2362A RHOB; Washington, DC 20515', 'phone': '(202) 225-2638'}, {'name': 'Commerce, Justice, Science, and Related Agencies', 'thomas_id': '19', 'address': 'H310 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3351'}, {'name': 'Defense', 'thomas_id': '02', 'address': 'H405 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2847'}, {'name': 'Energy and Water Development, and Related Agencies', 'thomas_id': '10', 'address': '2362B RHOB; Washington, DC 20515', 'phone': '(202) 225-3421'}, {'name': 'Financial Services and General Government', 'thomas_id': '23', 'address': '2000 RHOB; Washington, DC 20515', 'phone': '(202) 225-7245'}, {'name': 'Homeland Security', 'thomas_id': '15', 'address': '2006 RHOB; Washington, DC 20515', 'phone': '(202) 225-5834'}, {'name': 'Interior, Environment, and Related Agencies', 'thomas_id': '06', 'address': '2007 RHOB; Washington, DC 20515', 'phone': '(202) 225-3081'}, {'name': 'Labor, Health and Human Services, Education, and Related Agencies', 'thomas_id': '07', 'address': '2358B RHOB; Washington, DC 20515', 'phone': '(202) 225-3508'}, {'name': 'Legislative Branch', 'thomas_id': '24', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 226-7252'}, {'name': 'Military Construction, Veterans Affairs, and Related Agencies', 'thomas_id': '18', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3047'}, {'name': 'State, Foreign Operations, and Related Programs', 'thomas_id': '04', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2041'}, {'name': 'Transportation, Housing and Urban Development, and Related Agencies', 'thomas_id': '20', 'address': '2358A RHOB; Washington, DC 20515', 'phone': '(202) 225-2141'}]","H307 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",UCMaSlF09S0fpoRshS2t_7XA,https://appropriations.house.gov/about/,,,,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",01
7,house,House Committee on Appropriations,https://appropriations.house.gov/,https://republicans-appropriations.house.gov/,HSAP,AP,"[{'name': 'Agriculture, Rural Development, Food and Drug Administration, and Related Agencies', 'thomas_id': '01', 'address': '2362A RHOB; Washington, DC 20515', 'phone': '(202) 225-2638'}, {'name': 'Commerce, Justice, Science, and Related Agencies', 'thomas_id': '19', 'address': 'H310 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3351'}, {'name': 'Defense', 'thomas_id': '02', 'address': 'H405 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2847'}, {'name': 'Energy and Water Development, and Related Agencies', 'thomas_id': '10', 'address': '2362B RHOB; Washington, DC 20515', 'phone': '(202) 225-3421'}, {'name': 'Financial Services and General Government', 'thomas_id': '23', 'address': '2000 RHOB; Washington, DC 20515', 'phone': '(202) 225-7245'}, {'name': 'Homeland Security', 'thomas_id': '15', 'address': '2006 RHOB; Washington, DC 20515', 'phone': '(202) 225-5834'}, {'name': 'Interior, Environment, and Related Agencies', 'thomas_id': '06', 'address': '2007 RHOB; Washington, DC 20515', 'phone': '(202) 225-3081'}, {'name': 'Labor, Health and Human Services, Education, and Related Agencies', 'thomas_id': '07', 'address': '2358B RHOB; Washington, DC 20515', 'phone': '(202) 225-3508'}, {'name': 'Legislative Branch', 'thomas_id': '24', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 226-7252'}, {'name': 'Military Construction, Veterans Affairs, and Related Agencies', 'thomas_id': '18', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3047'}, {'name': 'State, Foreign Operations, and Related Programs', 'thomas_id': '04', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2041'}, {'name': 'Transportation, Housing and Urban Development, and Related Agencies', 'thomas_id': '20', 'address': '2358A RHOB; Washington, DC 20515', 'phone': '(202) 225-2141'}]","H307 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",UCMaSlF09S0fpoRshS2t_7XA,https://appropriations.house.gov/about/,,,,"Commerce, Justice, Science, and Related Agencies",19
8,house,House Committee on Appropriations,https://appropriations.house.gov/,https://republicans-appropriations.house.gov/,HSAP,AP,"[{'name': 'Agriculture, Rural Development, Food and Drug Administration, and Related Agencies', 'thomas_id': '01', 'address': '2362A RHOB; Washington, DC 20515', 'phone': '(202) 225-2638'}, {'name': 'Commerce, Justice, Science, and Related Agencies', 'thomas_id': '19', 'address': 'H310 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3351'}, {'name': 'Defense', 'thomas_id': '02', 'address': 'H405 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2847'}, {'name': 'Energy and Water Development, and Related Agencies', 'thomas_id': '10', 'address': '2362B RHOB; Washington, DC 20515', 'phone': '(202) 225-3421'}, {'name': 'Financial Services and General Government', 'thomas_id': '23', 'address': '2000 RHOB; Washington, DC 20515', 'phone': '(202) 225-7245'}, {'name': 'Homeland Security', 'thomas_id': '15', 'address': '2006 RHOB; Washington, DC 20515', 'phone': '(202) 225-5834'}, {'name': 'Interior, Environment, and Related Agencies', 'thomas_id': '06', 'address': '2007 RHOB; Washington, DC 20515', 'phone': '(202) 225-3081'}, {'name': 'Labor, Health and Human Services, Education, and Related Agencies', 'thomas_id': '07', 'address': '2358B RHOB; Washington, DC 20515', 'phone': '(202) 225-3508'}, {'name': 'Legislative Branch', 'thomas_id': '24', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 226-7252'}, {'name': 'Military Construction, Veterans Affairs, and Related Agencies', 'thomas_id': '18', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3047'}, {'name': 'State, Foreign Operations, and Related Programs', 'thomas_id': '04', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2041'}, {'name': 'Transportation, Housing and Urban Development, and Related Agencies', 'thomas_id': '20', 'address': '2358A RHOB; Washington, DC 20515', 'phone': '(202) 225-2141'}]","H307 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",UCMaSlF09S0fpoRshS2t_7XA,https://appropriations.house.gov/about/,,,,Defense,02
9,house,House Committee on Appropriations,https://appropriations.house.gov/,https://republicans-appropriations.house.gov/,HSAP,AP,"[{'name': 'Agriculture, Rural Development, Food and Drug Administration, and Related Agencies', 'thomas_id': '01', 'address': '2362A RHOB; Washington, DC 20515', 'phone': '(202) 225-2638'}, {'name': 'Commerce, Justice, Science, and Related Agencies', 'thomas_id': '19', 'address': 'H310 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3351'}, {'name': 'Defense', 'thomas_id': '02', 'address': 'H405 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2847'}, {'name': 'Energy and Water Development, and Related Agencies', 'thomas_id': '10', 'address': '2362B RHOB; Washington, DC 20515', 'phone': '(202) 225-3421'}, {'name': 'Financial Services and General Government', 'thomas_id': '23', 'address': '2000 RHOB; Washington, DC 20515', 'phone': '(202) 225-7245'}, {'name': 'Homeland Security', 'thomas_id': '15', 'address': '2006 RHOB; Washington, DC 20515', 'phone': '(202) 225-5834'}, {'name': 'Interior, Environment, and Related Agencies', 'thomas_id': '06', 'address': '2007 RHOB; Washington, DC 20515', 'phone': '(202) 225-3081'}, {'name': 'Labor, Health and Human Services, Education, and Related Agencies', 'thomas_id': '07', 'address': '2358B RHOB; Washington, DC 20515', 'phone': '(202) 225-3508'}, {'name': 'Legislative Branch', 'thomas_id': '24', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 226-7252'}, {'name': 'Military Construction, Veterans Affairs, and Related Agencies', 'thomas_id': '18', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-3047'}, {'name': 'State, Foreign Operations, and Related Programs', 'thomas_id': '04', 'address': 'HT2 CAPITOL; Washington, DC 20515', 'phone': '(202) 225-2041'}, {'name': 'Transportation, Housing and Urban Development, and Related Agencies', 'thomas_id': '20', 'address': '2358A RHOB; Washington, DC 20515', 'phone': '(202) 225-2141'}]","H307 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",UCMaSlF09S0fpoRshS2t_7XA,https://appropriations.house.gov/about/,,,,"Energy and Water Development, and Related Agencies",10
